1 "Region_7"
2 NCR
3 NCR
4 NCR
5 NCR
6 NCR
7 NCR
8 NCR
9 NCR
10 "Region_9"
11 NCR
12 NCR
13 "Region_2"
14 "Region_6"
15 "Region_6"
16 NCR
17 "Region_9"
18 NCR
19 NCR
20 "Region_7"
21 "Region_2"
22 "Region_XI"
23 NCR
24 NCR
25 "Region_6"
26 "Region_1"
27 "Region_XI"
28 "Region_2"
29 "Region_6"
30 NCR
31 "Region_XII"
32 "Region_7"
33 "Region_4A"
34 "Region_5"
35 "Region_XII"
36 "Region_XI"
37 "Region_XI"
38 NCR
39 "Region_2"
40 "Region_XII"
41 "Region_2"
42 NCR
43 "Region_6"
44 "Region_XII"
45 "Region_XI"
46 "Region_2"
47 "Region_9"
48 NCR
49 "Region_XI"
50 "Region_1"
51 "Region_6"
52 "Region_2"
53 "Region_XII"
54 "Region_6"
55 "Region_ X"
56 "Region_XI"
57 NCR
58 "Region_6"
59 "Region_ X"
60 "Region_XIII"
61 "Region_5"
62 "Region_XI"
63 "Region_4A"
64 NCR
65 "Region_6"
66 "Region_1"
67 NCR
68 NCR
69 "Region_2"
70 "Region_2"
71 "Region_4A"
72 "Region_XI"
73 "Region_XI"
74 "Region_XII"
75 "Region_2"
76 "Region_4A"
77 "Region_1"
78 "Region_3"
79 "Region_XI"
80 "Region_9"
81 NCR
82 "Region_5"
83 "Region_5"
84 "Region_4A"
85 "Region_XII"
86 "Region_4A"
87 "Region_6"
88 NCR
89 "Region_X"
90 "Region_XI"
91 "Region_1"
92 "Region_5"
93 "Region_XI"
94 "Region_4A"
95 "Region_1"
96 "Region_ X"
97 "Region_2"
98 NCR
99 "Region_4A"
100 "Region_XI"
101 "Region_7"
102 "Region_ X"
103 "Region_6"
104 "Region_2"
105 NCR
106 "Region_5"
107 "Region_4A"
108 "Region_XI"
109 NCR
110 "Region_XII"
111 "Region_6"
112 "Region_6"
113 "Region_XI"
114 NCR
115 "Region_XI"
116 "Region_4A"
117 "Region_5"
118 "Region_2"
119 "Region_XI"
120 "Region_2"
121 NCR
122 NCR
123 NCR
124 NCR
125 NCR
126 NCR
127 NCR
128 NCR
129 NCR
130 NCR
131 NCR
132 NCR
133 NCR
134 NCR
135 NCR
136 NCR
137 NCR
138 NCR
139 NCR
140 NCR
141 NCR
142 NCR
143 NCR
144 NCR
145 NCR
146 NCR
